"STG29.ft","depth.ft","area.acres","volume.acft","STG29.m","depth.m","area.m2","volume.m3"
8,4.61733260081188,286931.945053453,1324860.22410967,2.4384,1.40735963597689,1161173411.15901,1634188589.2348
8.1,4.68940057861165,288659.421154934,1353639.65658565,2.46888,1.42932590346736,1168164265.09506,1669687443.60527
8.2,4.76081546375983,290411.157627961,1382593.93008359,2.49936,1.45109310879014,1175253297.35829,1705401960.87951
8.3,4.83385957265596,292047.614321307,1411717.15615838,2.52984,1.47335690033252,1181875808.49232,1741324877.77824
8.4,4.90679102969779,293675.410692896,1441003.87083072,2.56032,1.49558635567122,1188463272.51665,1777449454.59227
8.5,4.98029956962204,295253.481905787,1470450.7888648,2.5908,1.51799170545494,1194849505.78525,1813771639.04895
8.6,5.05370620765662,296822.778090672,1500055.11621071,2.62128,1.54036599561643,1201200227.74402,1850287984.74359
8.7,5.12691628921635,298388.977206849,1529815.3077644,2.65176,1.56268037550659,1207538416.29931,1886996585.82123
8.8,5.19643772481757,300155.740198421,1559740.61168762,2.68224,1.58387045877742,1214688258.77938,1923908849.70444
8.9,5.26145339899832,302170.26868662,1589854.78725745,2.71272,1.60368718922731,1222840773.53714,1961054082.98632
9,5.31621873735868,304764.407848178,1620194.25548251,2.7432,1.62037962473552,1233338891.54448,1998477210.25256
9.1,5.31723577898549,310489.798179607,1650947.46389059,2.77368,1.62068961828752,1256508744.66112,2036410677.75976
9.2,5.36765753353052,313386.475071421,1682151.27382369,2.80416,1.6360581325915,1268231190.50753,2074899953.23604
9.3,5.43069063311522,315540.1995921,1713601.20629612,2.83464,1.65527057573896,1276947012.12128,2113692815.94214
9.4,5.4964128990823,317525.994165065,1745253.97012279,2.86512,1.67530267485409,1284983244.74683,2152735867.06706
9.5,5.56073341344465,319582.161021447,1777111.20113281,2.8956,1.69490752109431,1293304264.15125,2192031124.37329
9.6,5.63164180391453,321248.269280014,1809155.18271252,2.92608,1.71652034720561,1300046771.01852,2231556734.77224
9.7,5.70615693879815,322695.862135306,1841353.23284483,2.95656,1.73923250640465,1305904976.64089,2271272385.64944
9.8,5.78164291632156,324076.122422765,1873692.41755454,2.98704,1.76224057773788,1311490696.78779,2311162123.20517
9.9,5.85691211724352,325456.268003976,1906168.75970534,3.01752,1.78518257571982,1317075952.73457,2351221041.72134
10,5.93195915158632,326836.987116428,1938783.6568022,3.048,1.80805685748919,1322663529.68199,2391450864.99237
10.1,6.00657735897829,328229.750384967,1971537.38720544,3.07848,1.8308004331142,1328299847.64291,2431851936.37016
10.2,6.08151348885414,329593.779738272,2004429.01732072,3.10896,1.85364091128228,1333819883.47162,2472423104.28476
10.3,6.1557801189555,330982.87240686,2037457.78567694,3.13944,1.87627732640349,1339441347.02843,2513163429.47679
10.4,6.22955590469411,332387.450418988,2070626.20440383,3.16992,1.89876413251807,1345125477.60259,2554076010.60804
10.5,6.30267860116816,333816.174096412,2103936.05720128,3.2004,1.92105187749734,1350907322.30381,2595163047.83664
10.6,6.37459020954581,335298.695004354,2137391.77844824,3.23088,1.94297048370108,1356906876.86532,2636430010.88034
10.7,6.44552006168142,336822.739574231,2170997.7251562,3.26136,1.96458985131257,1363074471.87337,2677882274.02567
10.8,6.51630137347831,338344.891491008,2204757.28113222,3.29184,1.98616394393629,1369234407.5793,2719524011.13097
10.9,6.58817514252356,339800.456430566,2238664.92047402,3.32232,2.0080710167389,1375124875.1106,2761348406.10629
11,6.66046472522842,341224.82127055,2272715.88544487,3.3528,2.03010482924409,1380889080.20694,2803349590.37854
11.1,6.73235404435342,342660.255263508,2306910.15536245,3.38328,2.05201664169975,1386698080.61568,2845527538.43647
11.2,6.80378014082698,344109.970184396,2341248.58140116,3.41376,2.0737872642264,1392564873.94042,2887883300.1867
11.3,6.87477622782741,345572.417498861,2375733.04081402,3.44424,2.09542682017677,1398483193.47944,2930419191.18327
11.4,6.94539856822938,347044.729550691,2410363.96773292,3.47472,2.11695245843434,1404441434.22951,2973135746.91921
11.5,7.01544627792686,348537.115195999,2445143.40752114,3.5052,2.13830294966893,1410480910.00208,3016035490.30917
11.6,7.08513634179335,350038.677341181,2480071.75386328,3.53568,2.15954443071301,1416557521.78493,3059118906.95528
11.7,7.15482884412427,351531.808577104,2515149.92363463,3.56616,2.18078665499928,1422600014.85834,3102387127.80485
11.8,7.22382097109818,353051.207543918,2550378.71692729,3.59664,2.20181540538348,1428748809.76118,3145841139.75548
11.9,7.29262242035627,354572.040338838,2585760.01100648,3.62712,2.22278603733785,1434903407.16563,3189483258.37627
12,7.36133145782304,356089.604005678,2621293.60377075,3.6576,2.24372850224509,1441044774.86642,3233313234.37914
12.1,7.42997949345443,357602.350010083,2656978.12738603,3.68808,2.26465237383704,1447166646.16181,3277329380.56812
12.2,7.49669326687615,359200.724228948,2692817.65078419,3.71856,2.28498668370697,1453635042.85316,3321536715.88928
12.3,7.56285426943362,360818.598510047,2728818.47823276,3.74904,2.30515250941742,1460182353.56637,3365943016.53054
12.4,7.62850049863959,362454.252259654,2764982.44409681,3.77952,2.32516143258278,1466801615.2995,3410550545.14453
12.5,7.69274595453587,364149.782670945,2801311.76748703,3.81,2.34474340105684,1473663189.49974,3455362038.9599
12.6,7.75465494554394,365949.982533937,2837815.84187851,3.84048,2.36361321672347,1480948346.31729,3500389084.64031
12.7,7.81367340758377,367881.635757639,2874506.95445788,3.87096,2.38160200125194,1488765476.48216,3545646838.18471
12.8,7.86978169373093,369946.462935778,2911397.9016725,3.90144,2.39870376627391,1497121542.99628,3591151083.75499
12.9,7.92277115963512,372155.361161956,2948501.76231754,3.93192,2.41485491714236,1506060644.87187,3636917953.78343
13,7.9721385028432,374533.795223326,2985835.28951587,3.9624,2.42990204763373,1515685834.53747,3682968112.91203
13.1,8.01799561991727,377078.668051179,3023415.10879859,3.99288,2.44387926373918,1525984578.5896,3729322068.40089
13.2,8.06274590549289,379678.657231407,3061252.53899557,4.02336,2.45751911840473,1536506370.80349,3775993781.80026
13.3,8.10456607952214,382420.882159699,3099355.30965243,4.05384,2.47026587719095,1547603771.1768,3822992787.35008
13.4,8.13933166699622,385504.358177095,3137747.83027589,4.08432,2.48086240309932,1560082166.93256,3870349193.6887
13.5,8.16719242468792,388930.060286707,3176466.64210701,4.1148,2.48935434188582,1573945503.77186,3918108073.70616
13.6,8.19071093014868,392583.798418215,3215540.40870336,4.14528,2.49652276533406,1588731670.46674,3966304783.32742
13.7,8.2111051778025,396413.094462957,3254989.6124935,4.17576,2.50273891726322,1604228295.45836,4014964587.21848
13.8,8.23082046184217,400303.471584993,3294826.00486821,4.20624,2.50874812157403,1619972107.01844,4064101980.48485
13.9,8.25101781861387,404198.838428835,3335051.81813935,4.23672,2.51490426130477,1635736111.28412,4113719716.63853
14,8.27389713167836,407989.363761606,3375662.02658243,4.2672,2.5218778593731,1651075836.63229,4163811596.54889
14.1,8.30039631972903,411624.290068369,3416644.74239456,4.29768,2.52995479271815,1665785874.50608,4214362956.84885
14.2,8.33216680913091,415015.580303449,3457979.04347661,4.32816,2.53963841490113,1679509951.30682,4265347990.54753
14.3,8.36834071886808,418200.227231968,3499641.99018516,4.35864,2.55066419641633,1692397771.57596,4316738402.0536
14.4,8.40887001475506,421175.822022708,3541612.74074656,4.38912,2.56301749647877,1704439587.11082,4368508483.45607
14.5,8.45474606014244,423888.338032654,3583868.25592191,4.4196,2.57700048192043,1715416759.65083,4420629816.31456
14.6,8.50458828160338,426403.444589038,3626385.73808725,4.45008,2.59219235495968,1725595043.76959,4473074280.21586
14.7,8.56005498007586,428635.169358655,3669140.61610422,4.48056,2.60909856452261,1734626521.47077,4525811567.15223
14.8,8.62230295876461,430523.23420795,3712101.75612812,4.51104,2.62807170338904,1742267255.58679,4578803274.14892
14.9,8.69156664581263,432054.7920371,3755233.01963317,4.54152,2.64918322508734,1748465255.70326,4632004825.05712
15,8.76551369200357,433346.499100764,3798504.67124956,4.572,2.67172223126388,1753692613.35092,4685379541.89291
15.1,8.84240629802302,434485.532147757,3841897.60586321,4.60248,2.69515904194497,1758302120.62747,4738903858.88015
15.2,8.92166307231482,435501.5427433,3885398.03182903,4.63296,2.71931644940494,1762413773.26615,4792560764.30047
15.3,9.00370560247822,436375.088178282,3928992.82621273,4.66344,2.74432295323901,1765948889.34516,4846334071.27687
15.4,9.08711339643327,437176.311323624,3972670.71523219,4.69392,2.76974558848898,1769191327.24312,4900209873.8246
15.5,9.17164709777065,437917.657807281,4016426.21529067,4.7244,2.79551139949446,1772191452.67398,4954181408.03674
15.6,9.2579392029013,438569.648123405,4060251.1385643,4.75488,2.82181317070388,1774829966.20468,5008238574.39629
